run_number	IntLumEndcapEE	startTime	endTime	2*sqrt(BPR_PRB*BER_PRB)*cos(0.022/2)*1000.	BER_PRB*1000	BPR_PRB*1000	S_R3O_BI_DCCT_current	E_R3O_BI_DCCT_current	S_R4O_BI_DCCT_current	E_R4O_BI_DCCT_current
55134	315.69	2018-04-21 01:48:59	2018-04-21 02:13:18	3549.2494491686	1774.6121581256	1774.8520395671	548.010919306	451.824936216	556.201631685	483.923236595
55135	419.672	2018-04-21 02:39:36	2018-04-21 03:09:10	3549.3061404732	1774.6688494814	1774.8520395671	533.016590618	395.09617386	554.718888553	465.489280723
55136	539.766	2018-04-21 03:20:50	2018-04-21 03:59:42	3549.2494547919	1774.6730404012	1774.7911567744	539.026714762	421.556162896	555.274303476	435.808278306
55137	431.21	2018-04-21 04:09:23	2018-04-21 04:39:01	3549.1276969706	1774.6121581256	1774.7302738622	542.111272442	455.68265473	555.283761286	463.519742098
55138	454.382	2018-04-21 04:45:33	2018-04-21 05:15:58	3549.3103235221	1774.6121581256	1774.9129222402	436.794802482	363.866888652	441.676446951	363.966190102
55139	813.025	2018-04-21 05:24:23	2018-04-21 06:15:49	3549.2452639837	1774.6688494814	1774.7911567744	540.275268138	402.321888322	556.484923279	401.875889679
55143	395.391	2018-04-21 20:01:56	2018-04-21 20:29:45	3549.2410720222	1774.7864230326	1774.6693908303	509.391384542	425.596849398	524.675873366	444.527916297
55144	97.7414	2018-04-21 20:40:36	2018-04-21 20:47:06	3549.3145144608	1774.6163489652	1774.9129222402	535.69902701	512.692173478	558.273334781	537.767192861
55145	659.332	2018-04-21 20:49:43	2018-04-21 21:33:00	3549.1801949151	1774.725540757	1774.6693908303	502.50130486	392.687769156	523.551279388	399.654471463
55146	1012.81	2018-04-21 21:41:35	2018-04-21 22:39:48	3549.3061441516	1774.7297317571	1774.7911567744	533.539236214	376.236941632	557.725687336	381.557777071
55147	1120.17	2018-04-21 22:48:10	2018-04-21 23:45:53	3549.131879053	1774.6730404012	1774.6735719566	536.074069356	362.708958668	559.865365926	380.602920598
55148	1229.09	2018-04-21 23:56:07	2018-04-22 00:54:55	3549.0709991915	1774.6730404012	1774.6126889248	537.68431574	355.544867312	557.673830365	368.146823844
55149	1095.73	2018-04-22 01:05:02	2018-04-22 02:03:01	3549.1885665348	1774.7297317571	1774.6735719566	539.886896468	365.062084704	553.757351244	378.502381243
55150	1141.44	2018-04-22 02:14:01	2018-04-22 03:11:42	3549.1927568784	1774.5554666895	1774.8520395671	537.818589666	366.055699748	550.747071182	371.101343073
55151	1169.33	2018-04-22 03:22:01	2018-04-22 04:20:52	3549.301959972	1774.6688494814	1774.8478585997	536.088239268	360.30583766	559.672406479	375.228630742
55152	1179.25	2018-04-22 04:31:14	2018-04-22 05:30:15	3549.3061441516	1774.7297317571	1774.7911567744	547.805935918	368.282197206	560.997264553	373.862701625
55153	1122.43	2018-04-22 05:39:33	2018-04-22 06:36:32	3549.2410720222	1774.7864230326	1774.6693908303	535.588909982	379.479529856	555.568139522	372.632703373
55154	1126.34	2018-04-22 06:45:06	2018-04-22 07:41:02	3549.2494547919	1774.6730404012	1774.7911567744	537.709093072	365.041130046	555.485534607	384.657946574
55155	1076.98	2018-04-22 07:49:41	2018-04-22 08:41:57	3549.3670264361	1774.6730404012	1774.9087413924	540.000395862	379.672224648	555.109314999	389.192000565
55157	549.844	2018-04-22 08:49:38	2018-04-22 09:31:03	3561.1028287562	1780.5998106558	1780.7184776612	361.916104058	287.198738488	368.961000424	278.628994285
55158	1100.98	2018-04-22 10:26:16	2018-04-22 11:24:47	3561.277076925	1780.6564975512	1780.8360520263	500.933388086	334.40662089	531.291993798	363.661165668
55159	1173.22	2018-04-22 11:34:43	2018-04-22 11:49:38	3561.2812587938	1780.5998106558	1780.8969289109	527.35058719	472.197426984	558.245605287	506.822244691
55160	464.163	2018-04-22 12:43:14	2018-04-22 13:04:17	3561.1553236983	1780.7131843583	1780.6576005337	534.209465046	457.482673862	552.389047613	480.679831578
55161	706.927	2018-04-22 13:10:16	2018-04-22 13:48:18	3561.1636995307	1780.5998106558	1780.7793546673	435.080563354	333.034601148	460.258045274	358.768902154
55162	1155.77	2018-04-22 13:58:30	2018-04-22 14:55:46	3563.5149292543	1781.7754496682	1781.9550876368	541.475347606	355.738002412	559.988196718	381.940677515
55163	1148.51	2018-04-22 15:04:51	2018-04-22 16:01:56	3563.3323141602	1781.7145726772	1781.8333359365	537.829797506	354.5760296	562.24124829	384.372501819
55164	1164.4	2018-04-22 16:11:24	2018-04-22 17:08:40	3563.5107411197	1781.7145726772	1782.011784106	533.69592582	352.433390802	555.004977244	377.480817025
55165	1181.29	2018-04-22 17:19:14	2018-04-22 18:16:43	3563.4540523578	1781.7145726772	1781.9550876368	542.929544832	361.4068078	559.498604128	377.926964058
55166	1177.53	2018-04-22 18:39:16	2018-04-22 19:35:13	3563.5107411197	1781.7145726772	1782.011784106	537.940775136	360.230665076	556.59936278	379.62200484
55167	1163.13	2018-04-22 19:44:37	2018-04-22 20:42:04	3563.3931838398	1781.7145726772	1781.8942118476	537.109593716	360.071193524	556.019659396	378.041182206
55168	1171.68	2018-04-22 20:54:30	2018-04-22 21:52:00	3563.5757829528	1781.6578865809	1782.1335353187	518.097474542	342.361825638	550.559726052	376.281365487
55169	1168.13	2018-04-22 22:02:26	2018-04-22 22:59:47	3563.3323055837	1781.771258684	1781.7766393777	533.751424642	350.949132548	555.836379112	382.446630104
55170	1214.88	2018-04-22 23:08:04	2018-04-22 23:47:05	3563.4540523578	1781.7145726772	1781.9550876368	542.191108288	405.435046008	555.225464955	428.203112424
55171	1196.72	2018-04-23 00:14:47	2018-04-23 01:12:07	3563.4498735701	1781.7145726772	1781.9509083167	542.10450771	357.646057116	554.188868856	378.045911111
55172	1203.27	2018-04-23 01:21:12	2018-04-23 02:19:20	3563.4582432793	1781.7187635719	1781.9550876368	541.899524322	354.972466912	557.983382474	381.594139332
55173	1175.52	2018-04-23 02:28:21	2018-04-23 03:25:51	3563.2105713163	1781.7145726772	1781.7115837489	540.011623716	360.682781336	555.57329101	378.184659196
55174	1159.6	2018-04-23 03:36:12	2018-04-23 04:32:49	3563.4540511198	1781.832135675	1781.8375152888	535.058218758	357.394060842	555.274726059	382.918997406
55175	1172.39	2018-04-23 04:41:50	2018-04-23 05:38:53	3563.3931838398	1781.7145726772	1781.8942118476	541.70342715	358.974886646	554.135945366	380.032433548
55176	1178.49	2018-04-23 05:49:15	2018-04-23 06:47:18	3563.3931838398	1781.7145726772	1781.8942118476	540.31085303	357.467972544	554.858280574	378.821169809
